Element Count, Quick Sort - Ascending
686, 1537980
687, 1577160
688, 1579760
689, 1553880
690, 1555930
691, 1629110
692, 1562970
693, 1547550
694, 1597960
695, 1686940
696, 1624910
697, 1585920
698, 1632580
699, 1600060
700, 1646170
701, 1655780
702, 1635950
703, 1675730
704, 1635280
705, 1651080
706, 1627170
707, 1721700
708, 1688490
709, 1700950
710, 1627160
711, 1665670
712, 1683720
713, 1734930
714, 1654130
715, 1712030
716, 1721360
717, 1681490
718, 1698390
719, 1750080
720, 1740320
721, 1731540
722, 1791200
723, 1701370
724, 1695900
725, 1749620
726, 1704460
727, 1756680
728, 1753040
729, 1758400
730, 1795630
731, 1974430
732, 1803570
733, 1807860
734, 1803400
735, 1829780
736, 1752740
737, 1847370
738, 1800340
739, 1823770
740, 1818860
741, 1784940
742, 1826520
743, 1815260
744, 1815060
745, 1893940
746, 1872290
747, 1916740
748, 1886940
749, 1852180
750, 1887580
751, 1902320
752, 1900550
753, 1881970
754, 1906500
755, 1890470
756, 1894500
757, 1950270
758, 1913460
759, 1906850
760, 1936250
761, 1898250
762, 1908980
763, 1959790
764, 1972790
765, 1941530
766, 1926140
767, 2019470
768, 1903620
769, 1944290
770, 1994730
771, 2014950
772, 1958650
773, 1993900
774, 1973470
775, 2010370
776, 2013600
777, 1982500
778, 2207260
779, 2099900
780, 2124930
781, 2092580
782, 2007140
783, 2023500
784, 2103870
785, 2073580
786, 2010080
787, 2102010
788, 2040180
789, 2037840
790, 2063050
791, 2163500
792, 2050740
793, 2079700
794, 2027090
795, 2113620
796, 2069510
797, 2106920
798, 2113690
799, 2180650
800, 2070230
801, 2152260
802, 2119710
803, 2054920
804, 2300760
805, 2180220
806, 2122720
807, 2152380
808, 2131120
809, 2172830
810, 2104020
811, 2177810
812, 2199000
813, 2133810
814, 2128160
815, 2183720
816, 2154360
817, 2193130
818, 2289490
819, 2275600
820, 2247490
821, 2170080
822, 2235520
823, 2293090
824, 2263180
825, 2210900
826, 2244670
827, 2306470
828, 2263080
829, 2273540
830, 2260100
831, 2296310
832, 2378150
833, 2298810
834, 2352570
835, 2409460
836, 2321980
837, 2363080
838, 2332120
839, 2355620
840, 2426420
841, 2365290
842, 2350280
843, 2332410
844, 2326790
845, 2365880
846, 2341530
847, 2400890
848, 2403030
849, 2425960
850, 2387340
851, 2378590
852, 2499370
853, 2421010
854, 2384770
855, 2410890
856, 2415990
857, 2380800
858, 2480070
859, 2421340
860, 2551130
861, 2482590
862, 2385080
863, 2519720
864, 2398430
865, 2473280
866, 2402920
867, 2452220
868, 2416260
869, 2498430
870, 2464330
871, 2466290
872, 2503960
873, 2535270
874, 2566230
875, 2527680
876, 2536410
877, 2512910
878, 2589860
879, 2541220
880, 2545560
881, 2513810
882, 2549380
883, 2591530
884, 2527730
885, 2643660
886, 2564680
887, 2545350
888, 2655140
889, 2554950
890, 2591690
891, 2656190
892, 2656460
893, 2659920
894, 2616570
895, 2630280
896, 2639440
897, 2686060
898, 2676340
899, 2702690
900, 2798010
901, 2746840
902, 2744930
903, 2686340
904, 2743210
905, 2734820
906, 2678960
907, 2725490
908, 2729930
909, 2717900
910, 2711520
911, 2854530
912, 2821750
913, 2798830
914, 2779660
915, 2826620
916, 2814500
917, 2835480
918, 2797750
919, 2831710
920, 2715240
921, 2783120
922, 2733480
923, 2800690
924, 2969290
925, 2898760
926, 2857810
927, 2796360
928, 2793370
929, 2897090
930, 2934830
931, 2884370
932, 2846460
933, 2869480
934, 3015840
935, 2915800
936, 2925270
937, 2945060
938, 2896880
939, 2981470
940, 2943860
941, 2952750
942, 2969000
943, 2943210
944, 2941450
945, 2991600
946, 2958030
947, 3010180
948, 2928900
949, 2983820
950, 2975730
951, 3024130
952, 3006080
953, 3034000
954, 3052460
955, 3042860
956, 3108560
957, 3076600
958, 2939810
959, 3014180
960, 3111890
961, 3058340
962, 3030470
963, 3011570
964, 3071670
965, 3098230
966, 3143300
967, 3140570
968, 3072180
969, 3111290
970, 3087760
971, 3199470
972, 3105730
973, 3127440
974, 3149120
975, 3133450
976, 3173450
977, 3216490
978, 3200680
979, 3363890
980, 3115880
981, 3224760
982, 3228440
983, 3259650
984, 3154440
985, 3163560
986, 3262040
987, 3272360
988, 3241060
989, 3176200
990, 3339280
991, 3279370
992, 3260980
993, 3198930
994, 3299680
995, 3344260
996, 3236760
997, 3209210
998, 3316950
999, 3252580
