Element Count, Selection Sort - Ascending
731, 1332060
732, 1342800
733, 1398230
734, 1432720
735, 1428840
736, 1366830
737, 1418870
738, 1400580
739, 1376120
740, 1384130
741, 1375700
742, 1379480
743, 1383870
744, 1382560
745, 1413500
746, 1389970
747, 1406790
748, 1430620
749, 1465310
750, 1410820
751, 1425360
752, 1417520
753, 1429880
754, 1429440
755, 1430160
756, 1435430
757, 1448700
758, 1436510
759, 1448770
760, 1444000
761, 1455320
762, 1450970
763, 1372620
764, 1400560
765, 1390430
766, 1399140
767, 1402280
768, 1407860
769, 1401220
770, 1426200
771, 1414130
772, 1421490
773, 1439590
774, 1439880
775, 1434840
776, 1439560
777, 1446300
778, 1603160
779, 1518200
780, 1512140
781, 1520900
782, 1481950
783, 1458350
784, 1464600
785, 1474470
786, 1472140
787, 1488760
788, 1466550
789, 1481890
790, 1501390
791, 1485450
792, 1492780
793, 1499210
794, 1517360
795, 1494210
796, 1504520
797, 1556200
798, 1517680
799, 1535070
800, 1539830
801, 1544720
802, 1528980
803, 1552600
804, 1627920
805, 1574490
806, 1568570
807, 1567570
808, 1563070
809, 1556030
810, 1565980
811, 1562580
812, 1570240
813, 1593670
814, 1582320
815, 1589670
816, 1621100
817, 1593370
818, 1602910
819, 1591680
820, 1594920
821, 1598570
822, 1602850
823, 1603210
824, 1611840
825, 1620510
826, 1624250
827, 1622950
828, 1624310
829, 1634360
830, 1636250
831, 1649960
832, 1642320
833, 1643560
834, 1667640
835, 1677970
836, 1685110
837, 1675170
838, 1680710
839, 1669680
840, 1677880
841, 1681100
842, 1689980
843, 1679830
844, 1698850
845, 1696870
846, 1689630
847, 1713440
848, 1713160
849, 1712780
850, 1722580
851, 1715020
852, 1713930
853, 1748990
854, 1734050
855, 1728640
856, 1730700
857, 1748570
858, 1768990
859, 1767190
860, 1754780
861, 1749430
862, 1763100
863, 1765140
864, 1763110
865, 1783830
866, 1780590
867, 1785350
868, 1783290
869, 1787600
870, 1798790
871, 1804290
872, 1803740
873, 1830650
874, 1847810
875, 1864050
876, 1826900
877, 1820640
878, 1832650
879, 1829800
880, 1843810
881, 1833220
882, 1866590
883, 1887630
884, 1896200
885, 1845570
886, 1871470
887, 1859370
888, 1869540
889, 1872490
890, 1888980
891, 1890270
892, 1895250
893, 1888310
894, 1898740
895, 1896170
896, 1898450
897, 1902480
898, 1902620
899, 1913390
900, 1939740
901, 1956060
902, 1947010
903, 1945930
904, 1958400
905, 1971880
906, 1974470
907, 1972840
908, 1988380
909, 2015980
910, 1996040
911, 1994310
912, 2014090
913, 2012320
914, 2019710
915, 2017150
916, 2010680
917, 2031210
918, 2027950
919, 2035100
920, 2068160
921, 2336030
922, 2288200
923, 2343540
924, 2128970
925, 2086010
926, 2090980
927, 2086530
928, 2283830
929, 2100630
930, 2059820
931, 2072610
932, 2066560
933, 2315840
934, 2073800
935, 2095060
936, 2110310
937, 2216220
938, 2378600
939, 2198610
940, 2271650
941, 2211280
942, 2212800
943, 2132400
944, 2118410
945, 2136320
946, 2134150
947, 2445290
948, 2441080
949, 2143950
950, 2157080
951, 2241210
952, 2152850
953, 2160040
954, 2182360
955, 2184420
956, 2164530
957, 2178520
958, 2172310
959, 2167630
960, 2177150
961, 2336320
962, 2194510
963, 2211660
964, 2199160
965, 2206540
966, 2239970
967, 2350470
968, 2254490
969, 2232460
970, 2267020
971, 2257050
972, 2243180
973, 2249120
974, 2245120
975, 2256960
976, 2252510
977, 2278780
978, 2434620
979, 2468130
980, 2383920
981, 2338490
982, 2290860
983, 2291660
984, 2302180
985, 2303430
986, 2303550
987, 2307840
988, 2307070
989, 2312030
990, 2321230
991, 2342810
992, 2332930
993, 2336210
994, 2339650
995, 2360540
996, 2354350
997, 2363130
998, 2405290
999, 2372860
