Element Count, Quick Sort - Random
980, 118160
981, 108470
982, 120610
983, 131510
984, 116110
985, 95410
986, 103810
987, 100140
988, 135790
989, 120140
990, 105640
991, 104450
992, 117750
993, 99370
994, 140130
995, 130730
996, 143530
997, 120470
998, 116730
999, 114070
