Element Count, Quick Sort - Descending
968, 2461390
969, 2528420
970, 2482270
971, 2493480
972, 2495310
973, 2943280
974, 2610570
975, 2523200
976, 2571740
977, 2583410
978, 2800730
979, 2639400
980, 2610520
981, 2555410
982, 2595520
983, 2609540
984, 2563510
985, 2545280
986, 2455520
987, 2515390
988, 2503230
989, 2614070
990, 2568650
991, 2577490
992, 2506710
993, 2574470
994, 2548220
995, 2501810
996, 2558740
997, 2562690
998, 2509920
999, 2489530
